Date,TempC
01/12/2010,21.58333333
02/12/2010,21.54166667
03/12/2010,21.79166667
04/12/2010,21.04166667
05/12/2010,20.375
06/12/2010,18.70833333
07/12/2010,18.70833333
08/12/2010,20.45833333
09/12/2010,21.91666667
10/12/2010,20.66666667
11/12/2010,18.58333333
12/12/2010,17
13/12/2010,17.58333333
14/12/2010,18.375
15/12/2010,19.33333333
16/12/2010,19.08333333
17/12/2010,18.58333333
18/12/2010,18.125
19/12/2010,16.95833333
20/12/2010,16.83333333
21/12/2010,18.375
22/12/2010,18.33333333
23/12/2010,18.83333333
24/12/2010,18.58333333
25/12/2010,19.04166667
26/12/2010,19.125
27/12/2010,20.29166667
28/12/2010,20.83333333
29/12/2010,20.375
30/12/2010,20.375
31/12/2010,20.16666667
01/01/2011,19.83333333
02/01/2011,20.875
03/01/2011,21.5
04/01/2011,22.29166667
05/01/2011,21.75
06/01/2011,19.79166667
07/01/2011,18
08/01/2011,18.125
09/01/2011,19.66666667
10/01/2011,19.375
11/01/2011,19.66666667
12/01/2011,19.29166667
13/01/2011,19.41666667
14/01/2011,19.83333333
15/01/2011,19.79166667
16/01/2011,19.41666667
17/01/2011,19.875
18/01/2011,20.70833333
19/01/2011,21.75
20/01/2011,22
21/01/2011,21.58333333
22/01/2011,20.75
23/01/2011,20.66666667
24/01/2011,21.20833333
25/01/2011,21.875
26/01/2011,22.29166667
27/01/2011,21.375
28/01/2011,21.91666667
29/01/2011,21.79166667
30/01/2011,22.125
31/01/2011,21.66666667
01/02/2011,22.29166667
02/02/2011,22.875
03/02/2011,22.75
04/02/2011,22.54166667
05/02/2011,22.25
06/02/2011,21.95833333
07/02/2011,22.41666667
08/02/2011,22.625
09/02/2011,22.375
10/02/2011,22.54166667
11/02/2011,22.5
12/02/2011,22.66666667
13/02/2011,23.29166667
14/02/2011,22.66666667
15/02/2011,21.20833333
16/02/2011,20.5
17/02/2011,21.25
18/02/2011,21.70833333
19/02/2011,22.08333333
20/02/2011,21.54166667
21/02/2011,22.20833333
22/02/2011,23.29166667
23/02/2011,24.33333333
24/02/2011,23.375
25/02/2011,22.875
26/02/2011,23
27/02/2011,25.95833333
28/02/2011,24.66666667
01/03/2011,25.16666667
02/03/2011,25.95833333
03/03/2011,25.625
04/03/2011,25.45833333
05/03/2011,25.875
06/03/2011,25.91666667
07/03/2011,27.58333333
08/03/2011,28.20833333
09/03/2011,26.45833333
10/03/2011,25.16666667
11/03/2011,25.04166667
12/03/2011,25.5
13/03/2011,26.70833333
14/03/2011,26.5
15/03/2011,26.95833333
16/03/2011,27.29166667
17/03/2011,26.5
18/03/2011,26.95833333
19/03/2011,27.45833333
20/03/2011,27
21/03/2011,26.45833333
22/03/2011,26.83333333
23/03/2011,26.875
24/03/2011,26.5
25/03/2011,26.625
26/03/2011,27.375
27/03/2011,27.875
28/03/2011,28.20833333
29/03/2011,28.625
30/03/2011,28.33333333
31/03/2011,28.08333333
01/04/2011,26.75
02/04/2011,25.66666667
03/04/2011,24.04166667
04/04/2011,25
05/04/2011,26.20833333
06/04/2011,27.25
07/04/2011,27.95833333
08/04/2011,28.125
09/04/2011,28.375
10/04/2011,28.125
11/04/2011,28.33333333
12/04/2011,29.125
13/04/2011,29.5
14/04/2011,29.58333333
15/04/2011,29.08333333
16/04/2011,28.83333333
17/04/2011,29.91666667
18/04/2011,29.33333333
19/04/2011,29.375
20/04/2011,28.5
21/04/2011,28.45833333
22/04/2011,28.375
23/04/2011,29.125
24/04/2011,28.70833333
25/04/2011,28.83333333
26/04/2011,29.75
27/04/2011,29.66666667
28/04/2011,29.20833333
29/04/2011,29.16666667
30/04/2011,29.45833333
01/05/2011,29.875
02/05/2011,29.04166667
